,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1881,1882,2019-09-02,2019-06-13,125,33,5,128,132,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,ITA,PN
1883,1884,2017-02-06,2019-06-16,745,395,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,PD
1884,1885,2019-05-18,2019-05-18,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,NO
1885,1886,2019-03-15,2019-06-16,94,11,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VR
1886,1887,2018-03-19,2019-06-14,453,264,2,86,144,3,11,0,0,0,7,0,0,13,0,11,14,0,0,0,0,0,0,ITA,BS
1887,1888,2019-05-27,2019-12-06,17,10,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1888,1889,2019-12-06,2019-12-06,1,1,2,86,144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ITA,FG
1889,1890,2019-12-06,2019-12-06,1,1,1,227,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1890,1891,2019-03-26,2019-03-06,70,8,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BG
1891,1892,2019-05-02,2019-09-06,125,16,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
1894,1895,2019-04-20,2019-05-18,29,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,FI
1895,1896,2019-05-25,2019-05-27,3,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BA
1896,1897,2019-03-04,2019-06-15,74,21,1,254,131,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,4,ITA,MI
1897,1898,2019-05-23,2019-02-06,11,5,2,86,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
1898,1899,2019-12-06,2019-06-16,5,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VA
1900,1901,2019-06-16,2019-06-16,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,RM
1901,1902,2019-05-20,2019-05-20,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MB
1903,1904,2019-04-06,2019-04-06,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,VA
1904,1905,2019-05-22,2019-12-06,22,7,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,BO
1908,1909,2019-03-21,2019-07-06,79,12,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,AP
1911,1912,2019-05-25,2019-05-25,1,1,2,220,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
