,user_id,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta_stato_cod,prima_citta_cod
1546,5266,2019-06-15 00:00:00.000000,2019-06-15 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1547,5275,2019-05-20 00:00:00.000000,2019-01-06 00:00:00.000000,13,2,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1548,5276,2019-05-30 00:00:00.000000,2019-06-15 00:00:00.000000,17,9,5.0,128.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1549,5280,2018-07-27 00:00:00.000000,2019-09-06 00:00:00.000000,318,222,5.0,*,132.0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MI
1550,5283,2019-03-18 00:00:00.000000,2019-06-15 00:00:00.000000,90,7,2.0,156.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1551,5285,2018-07-26 00:00:00.000000,2019-06-16 00:00:00.000000,326,154,1.0,*,133.0,0,0,0,0,3,0,3,0,0,0,6,0,0,1,0,0,0,0,ITA,MI
1552,5293,2019-05-28 00:00:00.000000,2019-05-28 00:00:00.000000,1,1,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1553,5304,2019-04-20 00:00:00.000000,2019-07-06 00:00:00.000000,49,7,1.0,128.0,131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1554,5307,2019-04-20 00:00:00.000000,2019-05-19 00:00:00.000000,30,2,*,*,133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,MB
1555,5310,2019-12-05 00:00:00.000000,2019-05-19 00:00:00.000000,8,3,2.0,11.0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
1556,5311,2017-02-06 00:00:00.000000,2019-05-18 00:00:00.000000,716,272,*,*,*,4,0,0,0,1,1,0,2,2,3,0,0,0,4,0,0,0,9,ITA,PI
