?uuid,giorno_min,giorno_max,durata_vita,conteggio_giorni_totale,device_type,browser_type,os_type,site_giallozafferano,site_repubblica,site_subito,site_ansa,site_kijiji,site_corriere,site_ebay,site_pianetadonna,site_aranzulla,site_greenme,site_gazzetta,site_sole24ore,site_pourfemme,site_alfemminile,site_corrieresport,site_cookaround,site_autoscout,site_staseratv,prima_citta
2263,19/05/19,19/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2264,17/02/19,07/06/19,111,47,1,128,,0,1,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,ITA-MI
2265,21/05/19,21/05/19,1,1,5,128,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2266,17/11/18,09/06/19,205,52,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2267,26/12/18,30/05/19,156,22,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MI
2268,11/04/19,17/05/19,37,13,2,86,124,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,ITA-MI
2269,19/05/19,19/05/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PD
2270,14/02/19,14/06/19,121,33,2,156,144,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,ITA-MB
2271,14/06/19,14/06/19,1,1,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2272,14/06/19,14/06/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VI
2273,28/02/19,04/06/19,97,16,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-BA
2274,13/11/18,13/06/19,213,95,1,128,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MB
2275,18/05/19,19/05/19,2,2,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2276,23/09/18,29/05/19,249,17,1,242,133,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
2277,12/03/19,15/06/19,96,23,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PG
2278,24/05/19,24/05/19,1,1,2,11,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2279,11/06/19,15/06/19,5,2,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2280,25/06/18,06/06/19,347,126,1,,133,0,0,0,1,0,3,0,0,0,1,6,0,0,0,0,0,0,3,ITA-VA
2281,31/05/19,07/06/19,8,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-MO
2282,12/01/19,16/06/19,156,135,1,173,133,0,0,0,59,0,2,0,0,0,0,0,1,0,0,0,0,0,0,ITA-RM
2283,20/05/19,20/05/19,1,1,2,255,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SR
2284,28/05/19,28/05/19,1,1,2,86,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PD
2285,05/05/19,23/05/19,19,3,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-NA
2286,21/05/19,21/05/19,1,1,1,173,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2287,03/06/19,03/06/19,1,1,2,255,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-LE
2288,12/06/19,14/06/19,3,3,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-PT
2289,14/10/17,16/06/19,611,348,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TN
2290,09/01/19,16/06/19,159,38,1,128,131,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2291,26/05/19,26/05/19,1,1,2,251,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VE
2292,04/06/19,05/06/19,2,2,2,156,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-RM
2293,25/01/19,07/06/19,134,46,1,173,133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-SA
2294,13/11/18,15/06/19,215,89,1,173,133,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,ITA-MI
2295,23/06/18,15/06/19,358,312,1,173,133,21,0,0,13,0,2,0,0,0,0,4,5,0,13,10,0,0,11,
2296,16/05/19,16/05/19,1,1,2,86,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2297,20/05/19,20/05/19,1,1,5,86,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-VI
2298,17/01/19,16/06/19,151,33,,,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA-TN
2299,28/01/18,12/06/19,501,348,,,,0,24,0,15,0,0,0,3,0,0,8,2,0,0,16,0,0,6,ITA-MB
2300,31/05/19,31/05/19,1,1,1,254,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
